0,chunk,content
,"[14542] ""a   S u p r e m e   C o u r t   a d v o c a t e ,   s e r v e s   a s   t h e   t r i g g e r   f o r   h i s   b o o k   b e c a u s e   t h e y   u n d e r l i n e   t h e   c r i t i c a l   i s s u e   o f   t h e   h i s t o r i c a l   c o n s c i o u"" [14673] ""s n e s s   o f   B h a r a t i y a s   e v i d e n t   i n   h o w   t h e y   w e r e   p r e s e n t e d ,   a r g u e d   a n d   r e c e i v e d   b y   t h e   S u p r e m e   C o u r t .   T h e   a p p a r e n t   d i c h o t o m y   c o u n t e r p o s"" [14803] ""e d   b e t w e e n   t r a d i t i o n   a n d   t h e   r a t i o n a l i t y   o f   m o d e r n i t y   b y   t h o s e   i n v o l v e d   o n   o p p o s i n g   s i d e s   e x p o s e d   t h e   p a r a m e t e r s   o f   t h e   k e y   i n t e l l""","
The Supreme Court Advocate serves as the trigger for the book as it highlights the critical issue of the historical consciousness of Bharatiyas evident in how they were presented, argued and received by the Supreme Court. This apparent dichotomy between tradition and the rationality of modernity by those involved on opposing sides exposed the parameters of the key intellectual debates of the time."
,"[14673] ""s n e s s   o f   B h a r a t i y a s   e v i d e n t   i n   h o w   t h e y   w e r e   p r e s e n t e d ,   a r g u e d   a n d   r e c e i v e d   b y   t h e   S u p r e m e   C o u r t .   T h e   a p p a r e n t   d i c h o t o m y   c o u n t e r p o s"" [14803] ""e d   b e t w e e n   t r a d i t i o n   a n d   t h e   r a t i o n a l i t y   o f   m o d e r n i t y   b y   t h o s e   i n v o l v e d   o n   o p p o s i n g   s i d e s   e x p o s e d   t h e   p a r a m e t e r s   o f   t h e   k e y   i n t e l l"" [14935] ""e c t u a l   c o n u n d r u m   a n a l y s e d   b y   S a i   D e e p a k ,   n a m e l y   c o l o n i a l i t y   a n d   t h e   d i s t o r t e d   c o n s c i o u s n e s s ,   b y   a n d   l a r g e ,   o f   t h e   B h a r a t i y a   s o c i e t y .""","
The Supreme Court's treatment of Bharatiyas in the present day has exposed the dichotomy between tradition and modernity. This has been highlighted by the analysis of Sai Deepak, who has looked into the colonial influence and the distorted consciousness of the Bharatiyas. This has highlighted the key intellectual conundrum in the society."
,"[14803] ""e d   b e t w e e n   t r a d i t i o n   a n d   t h e   r a t i o n a l i t y   o f   m o d e r n i t y   b y   t h o s e   i n v o l v e d   o n   o p p o s i n g   s i d e s   e x p o s e d   t h e   p a r a m e t e r s   o f   t h e   k e y   i n t e l l"" [14935] ""e c t u a l   c o n u n d r u m   a n a l y s e d   b y   S a i   D e e p a k ,   n a m e l y   c o l o n i a l i t y   a n d   t h e   d i s t o r t e d   c o n s c i o u s n e s s ,   b y   a n d   l a r g e ,   o f   t h e   B h a r a t i y a   s o c i e t y ."" [15066] ""S u c h   p e r c e p t u a l   d i s t o r t i o n s   a r o s e   f r o m   t h e   u n c o n s c i o u s   a n d   l a r g e l y   u n q u e s t i o n i n g   a c c e p t a n c e   o f   i d e a s   o f   m o d e r n i t y   t h a t   c a m e   t o   d o m""","
The book explores the parameters of the key intellectual debate between tradition and the rationality of modernity, as experienced by those on opposing sides. Through analysis by Sai Deepak, the book explores the notion of coloniality and the distorted consciousness of Bharatiya society. This distortion arose from the largely unconscious and unquestioned acceptance of ideas of modernity that came to dominate."
,"[14935] ""e c t u a l   c o n u n d r u m   a n a l y s e d   b y   S a i   D e e p a k ,   n a m e l y   c o l o n i a l i t y   a n d   t h e   d i s t o r t e d   c o n s c i o u s n e s s ,   b y   a n d   l a r g e ,   o f   t h e   B h a r a t i y a   s o c i e t y ."" [15066] ""S u c h   p e r c e p t u a l   d i s t o r t i o n s   a r o s e   f r o m   t h e   u n c o n s c i o u s   a n d   l a r g e l y   u n q u e s t i o n i n g   a c c e p t a n c e   o f   i d e a s   o f   m o d e r n i t y   t h a t   c a m e   t o   d o m"" [15197] ""i n a t e   i n t e l l e c t u a l   l i f e   i n   t h e   n i n e t e e n t h   c e n t u r y   a n d   a c c e p t e d   a s   v a l i d   b y   b o t h   c o l o n i s e r s   a n d   t h e   c o l o n i s e d .   T h e   a r g u m e n t   a d v a n c e d""","
The coloniality and distorted consciousness of Bhartiya society is an important concept to analyze in order to understand the modern intellectual life of the 19th century. This concept arose from the acceptance of ideas of modernity among both colonizers and the colonized, without questioning them. This ultimately led to the emergence of perceptual distortions that have shaped our contemporary society."
,"[15066] ""S u c h   p e r c e p t u a l   d i s t o r t i o n s   a r o s e   f r o m   t h e   u n c o n s c i o u s   a n d   l a r g e l y   u n q u e s t i o n i n g   a c c e p t a n c e   o f   i d e a s   o f   m o d e r n i t y   t h a t   c a m e   t o   d o m"" [15197] ""i n a t e   i n t e l l e c t u a l   l i f e   i n   t h e   n i n e t e e n t h   c e n t u r y   a n d   a c c e p t e d   a s   v a l i d   b y   b o t h   c o l o n i s e r s   a n d   t h e   c o l o n i s e d .   T h e   a r g u m e n t   a d v a n c e d"" [15326] ""i n   t h e   b o o k   i s   t h e   e x a c t   o b v e r s e   o f   t h e   a c c u s a t i o n   o f   ‘ f a l s e   r e l i g i o n ’   l e v e l l e d   b y   C h r i s t i a n   e v a n g e l i s t s   a g a i n s t   H i n d u s .   W h a t   S a""","
The book discusses how modernity has distorted people's perceptions and how colonizers and the colonized accept the ideas of modernity without questioning them. It also argues that the accusation of 'false religion' by Christian evangelists against Hindus is wrong as the book looks into the importance of Hinduism and its role in shaping the intellectual life of the 19th century."
,"[15197] ""i n a t e   i n t e l l e c t u a l   l i f e   i n   t h e   n i n e t e e n t h   c e n t u r y   a n d   a c c e p t e d   a s   v a l i d   b y   b o t h   c o l o n i s e r s   a n d   t h e   c o l o n i s e d .   T h e   a r g u m e n t   a d v a n c e d"" [15326] ""i n   t h e   b o o k   i s   t h e   e x a c t   o b v e r s e   o f   t h e   a c c u s a t i o n   o f   ‘ f a l s e   r e l i g i o n ’   l e v e l l e d   b y   C h r i s t i a n   e v a n g e l i s t s   a g a i n s t   H i n d u s .   W h a t   S a"" [15455] ""i   D e e p a k   s e e k s   t o   u n r a v e l   i s   t h e   m y s t i q u e   a n d   v e i l   o f   c o l o n i a l i t y   i t s e l f   t h a t   h a s   p r o f o u n d l y   s h a p e d   t h e   t h i n k i n g   o f   t h e   c o n q u e r e d""","
The nineteenth century was a time of intellectual life, with both colonizers and the colonized accepting it as valid. Deepak seeks to unravel the mystique and veil of colonialism itself, which has profoundly shaped the thinking of the conquered. The argument advanced in the book is the exact opposite of the accusation of 'false religion' levelled by Christian evangelists against Hindus."
,"[15326] ""i n   t h e   b o o k   i s   t h e   e x a c t   o b v e r s e   o f   t h e   a c c u s a t i o n   o f   ‘ f a l s e   r e l i g i o n ’   l e v e l l e d   b y   C h r i s t i a n   e v a n g e l i s t s   a g a i n s t   H i n d u s .   W h a t   S a"" [15455] ""i   D e e p a k   s e e k s   t o   u n r a v e l   i s   t h e   m y s t i q u e   a n d   v e i l   o f   c o l o n i a l i t y   i t s e l f   t h a t   h a s   p r o f o u n d l y   s h a p e d   t h e   t h i n k i n g   o f   t h e   c o n q u e r e d"" [15585] ""b y   w h i t e   E u r o p e a n   C h r i s t i a n   s u b j u g a t i o n   s i n c e   t h e   a d v e n t   o f   C h r i s t o p h e r   C o l u m b u s   i n   1 4 9 2   c e .   A   k e y   i n t e l l e c t u a l   a n d   p o l i t i c a l   c o n""","
[15326] Hinduism has long been seen as a 'false religion' by many Christian evangelists, but Deepak seeks to unravel the mystique and veil of colonialism that has deeply shaped the conquered by white European Christian subjugation since the advent of Christopher Columbus in 1492 CE. [15455] He argues that the colonial narrative has been forced upon the Hindu people and that this narrative has had a lasting effect on their beliefs and practices. [15585] He believes that to truly understand Hinduism, we must look past the imposed colonial narrative and explore the ancient and diverse traditions that have been a part of Hindu culture for centuries."
,"[15455] ""i   D e e p a k   s e e k s   t o   u n r a v e l   i s   t h e   m y s t i q u e   a n d   v e i l   o f   c o l o n i a l i t y   i t s e l f   t h a t   h a s   p r o f o u n d l y   s h a p e d   t h e   t h i n k i n g   o f   t h e   c o n q u e r e d"" [15585] ""b y   w h i t e   E u r o p e a n   C h r i s t i a n   s u b j u g a t i o n   s i n c e   t h e   a d v e n t   o f   C h r i s t o p h e r   C o l u m b u s   i n   1 4 9 2   c e .   A   k e y   i n t e l l e c t u a l   a n d   p o l i t i c a l   c o n"" [15717] ""v i c t i o n   o f   t h e   a r g u m e n t   i n   t h e   L a t i n   A m e r i c a n   d e c o l o n i a l i t y   l i t e r a t u r e ,   r e v i s i t e d   i n   S a i   D e e p a k ’ s   t r a c t ,   i s   t h e   o v e r p o w e r i n g   n a t u r e""","
[15455] Deepak seeks to uncover how white European Christian subjugation since the arrival of Christopher Columbus in 1492 CE has profoundly shaped the thinking of the conquered. [15585] A key intellectual and political contention of the argument in Latin American decoloniality literature, revisited in Sai Deepak’s tract, is the overpowering nature of colonialism itself. [15717] This has created an enduring legacy in the region of the Othering and alienation of indigenous cultures and societies in the face of western hegemony."
,"[15585] ""b y   w h i t e   E u r o p e a n   C h r i s t i a n   s u b j u g a t i o n   s i n c e   t h e   a d v e n t   o f   C h r i s t o p h e r   C o l u m b u s   i n   1 4 9 2   c e .   A   k e y   i n t e l l e c t u a l   a n d   p o l i t i c a l   c o n"" [15717] ""v i c t i o n   o f   t h e   a r g u m e n t   i n   t h e   L a t i n   A m e r i c a n   d e c o l o n i a l i t y   l i t e r a t u r e ,   r e v i s i t e d   i n   S a i   D e e p a k ’ s   t r a c t ,   i s   t h e   o v e r p o w e r i n g   n a t u r e"" [15846] ""o f   c o l o n i a l   c o n s c i o u s n e s s   a n d   t h e   d i s t i n c t i v e   s e l f - s e r v i n g   m i n d s e t   o f   t h e     c o l o n i s e r   a s   w e l l .   I t   ﬁ r s t   l o c a t e s   t h e   o r i g i n s   o f   t h e""","
Colonial subjugation and oppression have been part of the White European Christian story since the arrival of Christopher Columbus in 1492 CE. Deepak Sai's tract revisits the argument of Latin American decoloniality, highlighting the overwhelming presence of colonial consciousness and self-serving nature of the colonizer. It also investigates the origins of the power imbalance between colonized and colonizers which continues to shape our world today. #Colonialism #Oppression #LatinAmerica #ChristopherColumbus #Decoloniality"
,"[15717] ""v i c t i o n   o f   t h e   a r g u m e n t   i n   t h e   L a t i n   A m e r i c a n   d e c o l o n i a l i t y   l i t e r a t u r e ,   r e v i s i t e d   i n   S a i   D e e p a k ’ s   t r a c t ,   i s   t h e   o v e r p o w e r i n g   n a t u r e"" [15846] ""o f   c o l o n i a l   c o n s c i o u s n e s s   a n d   t h e   d i s t i n c t i v e   s e l f - s e r v i n g   m i n d s e t   o f   t h e     c o l o n i s e r   a s   w e l l .   I t   ﬁ r s t   l o c a t e s   t h e   o r i g i n s   o f   t h e"" [15974] ""c o l o n i a l   e x p e r i e n c e   a t   t h e   d a w n   o f   t h e   r e l i g i o u s l y   a n d   r a c i a l l y   i n s p i r e d   A g e   o f   D i s c o v e r y   r a t h e r   t h a n   t h e   s u b s e q u e n t   e r a   o f   t h e""","
The Latin American decolonization literature provides an overview of the colonial consciousness and the distinct self-serving mindset of the colonizer. It reveals that the origin of the colonial experience dates back to the dawn of the religiously and racially inspired Age of Discovery rather than the subsequent era of the imperialist expansion. This is further emphasized in Sai Deepak’s tract, which argues that the overwhelming nature of colonial consciousness and power continues to affect the Latin American region in a profound manner."
,"[15846] ""o f   c o l o n i a l   c o n s c i o u s n e s s   a n d   t h e   d i s t i n c t i v e   s e l f - s e r v i n g   m i n d s e t   o f   t h e     c o l o n i s e r   a s   w e l l .   I t   ﬁ r s t   l o c a t e s   t h e   o r i g i n s   o f   t h e"" [15974] ""c o l o n i a l   e x p e r i e n c e   a t   t h e   d a w n   o f   t h e   r e l i g i o u s l y   a n d   r a c i a l l y   i n s p i r e d   A g e   o f   D i s c o v e r y   r a t h e r   t h a n   t h e   s u b s e q u e n t   e r a   o f   t h e"" [16111] ""E n l i g h t e n m e n t   t h a t   p r e o c c u p i e s   p o s t c o l o n i a l   a n a l y s t s ,   ﬁ r m l y   e s t a b l i s h i n g   i t s   u n d e r l y i n g   C h r i s t i a n   i d e o l o g i c a l   r a t i o n a l i s a t i o n .   T h e   d e c o l o""","
Colonial consciousness and the distinct self-serving mindset of the coloniser are explored in the book. The origins of the colonial experience are traced back to the dawn of the religiously and racially inspired Age of Discovery, rather than the subsequent era of the Enlightenment that postcolonial analysts are preoccupied with. The decolonisation process is analysed in the book and its underlying Christian ideological rationalisations are firmly established."
,"[15974] ""c o l o n i a l   e x p e r i e n c e   a t   t h e   d a w n   o f   t h e   r e l i g i o u s l y   a n d   r a c i a l l y   i n s p i r e d   A g e   o f   D i s c o v e r y   r a t h e r   t h a n   t h e   s u b s e q u e n t   e r a   o f   t h e"" [16111] ""E n l i g h t e n m e n t   t h a t   p r e o c c u p i e s   p o s t c o l o n i a l   a n a l y s t s ,   ﬁ r m l y   e s t a b l i s h i n g   i t s   u n d e r l y i n g   C h r i s t i a n   i d e o l o g i c a l   r a t i o n a l i s a t i o n .   T h e   d e c o l o"" [16245] ""n i a l i t y   e p i s t e m e   r e j e c t s   t h e   u n s p o k e n   f o u n d a t i o n a l   i n t e l l e c t u a l   a s s u m p t i o n s   o f   m o d e r n i t y   t h a t   a r e ,   i n   e ﬀ e c t ,   a l s o   s u b l i m i n a l l y   u n i v e r s""","
The Colonial Experience at the dawn of the religiously and racially inspired Age of Discovery is central to post-colonial analysis, firmly establishing its underlying Christian ideological rationalization. The decolonial episteme rejects the unspoken foundational intellectual assumptions of modernity, which are in effect, also subliminally universal."
,"[16111] ""E n l i g h t e n m e n t   t h a t   p r e o c c u p i e s   p o s t c o l o n i a l   a n a l y s t s ,   ﬁ r m l y   e s t a b l i s h i n g   i t s   u n d e r l y i n g   C h r i s t i a n   i d e o l o g i c a l   r a t i o n a l i s a t i o n .   T h e   d e c o l o"" [16245] ""n i a l i t y   e p i s t e m e   r e j e c t s   t h e   u n s p o k e n   f o u n d a t i o n a l   i n t e l l e c t u a l   a s s u m p t i o n s   o f   m o d e r n i t y   t h a t   a r e ,   i n   e ﬀ e c t ,   a l s o   s u b l i m i n a l l y   u n i v e r s"" [16377] ""a l i s e d   w i t h i n   t h e   v e r y   p o s t m o d e r n i s t   a n d   p o s t c o l o n i a l   c r i t i q u e s   o f   t h e   c o l o n i a l   a n d   i m p e r i a l i s t   p o s t u r e s   o f   E u r o p e a n   m o d e r n i t y .   I n   e""","
Postcolonial analysts have been preoccupied with enlightenment - a thought process that was strongly rationalized by Christian ideology. Decolonization of knowledge rejects the unspoken foundational assumptions of modernity that are, in effect, also subliminally universalized in postmodern and postcolonial critiques of the colonial and imperialist postures of European modernity. In effect, these critiques challenge the norms of traditional European modernity."
,"[16245] ""n i a l i t y   e p i s t e m e   r e j e c t s   t h e   u n s p o k e n   f o u n d a t i o n a l   i n t e l l e c t u a l   a s s u m p t i o n s   o f   m o d e r n i t y   t h a t   a r e ,   i n   e ﬀ e c t ,   a l s o   s u b l i m i n a l l y   u n i v e r s"" [16377] ""a l i s e d   w i t h i n   t h e   v e r y   p o s t m o d e r n i s t   a n d   p o s t c o l o n i a l   c r i t i q u e s   o f   t h e   c o l o n i a l   a n d   i m p e r i a l i s t   p o s t u r e s   o f   E u r o p e a n   m o d e r n i t y .   I n   e"" [16510] ""ﬀ e c t ,   t h e   d e c o l o n i a l   f r a m e w o r k   s e e k s   t o   r e i n s c r i b e   t h e   p r i m a c y   o f   i n d i g e n e i t y ,   i n d i g e n o u s   c o n s c i o u s n e s s   a n d   i t s   s u b j e c t i v i t y   i n   f o r m e""","
The postmodern and postcolonial critiques of European modernity are being challenged by decolonial frameworks which emphasize indigenous consciousness and subjectivity. These frameworks reject the unspoken foundations of modernity and promote indigenous identity in a new and powerful way. Additionally, decolonial frameworks seek to reinstate the primacy of indigenous knowledge and its subjectivity that has been overlooked in the past."
,"[16377] ""a l i s e d   w i t h i n   t h e   v e r y   p o s t m o d e r n i s t   a n d   p o s t c o l o n i a l   c r i t i q u e s   o f   t h e   c o l o n i a l   a n d   i m p e r i a l i s t   p o s t u r e s   o f   E u r o p e a n   m o d e r n i t y .   I n   e"" [16510] ""ﬀ e c t ,   t h e   d e c o l o n i a l   f r a m e w o r k   s e e k s   t o   r e i n s c r i b e   t h e   p r i m a c y   o f   i n d i g e n e i t y ,   i n d i g e n o u s   c o n s c i o u s n e s s   a n d   i t s   s u b j e c t i v i t y   i n   f o r m e"" [16640] ""r l y   c o l o n i s e d   s o c i e t i e s   a n d   c i v i l i s a t i o n s .   O n e   o f   t h e   f u n d a m e n t a l   q u e s t i o n s   e x a m i n e d   i n   t h e   b o o k   i s   t h e   r o o t e d n e s s   o f   t h e   e n t i r e   c""","
The book examines how postmodern and postcolonial critiques of European modernity seek to re-inscribe the primacy of Indigenous consciousness and its subjectivity in formerly colonized societies and civilizations. It also looks into the rootedness of the entire colonial imaginary in the context of Indigenous perspectives and knowledge. This book provides a valuable insight into the complex legacy of colonialism and its implications for the present."
,"[16510] ""ﬀ e c t ,   t h e   d e c o l o n i a l   f r a m e w o r k   s e e k s   t o   r e i n s c r i b e   t h e   p r i m a c y   o f   i n d i g e n e i t y ,   i n d i g e n o u s   c o n s c i o u s n e s s   a n d   i t s   s u b j e c t i v i t y   i n   f o r m e"" [16640] ""r l y   c o l o n i s e d   s o c i e t i e s   a n d   c i v i l i s a t i o n s .   O n e   o f   t h e   f u n d a m e n t a l   q u e s t i o n s   e x a m i n e d   i n   t h e   b o o k   i s   t h e   r o o t e d n e s s   o f   t h e   e n t i r e   c"" [16772] ""o l o n i a l   v e n t u r e   i n   C h r i s t i a n   c o n c e p t i o n s   d e r i v e d   f r o m   B i b l i c a l   v e r i t i e s .   H o w e v e r ,   w h a t   i s   v e r y   r a r e l y   u n d e r s t o o d   i s   t h e   c h a m e l e o n   a d""","
The decolonial framework seeks to re-inscribe the primacy of indigenous consciousness and its subjectivity in formerly colonized societies and civilizations. The book examines the rootedness of the entire colonial venture in Christian conceptions derived from Biblical truths. Additionally, it highlights the chameleon adaptability of colonial rule, which allowed for different forms of subjugation to be employed in various contexts."
,"[16640] ""r l y   c o l o n i s e d   s o c i e t i e s   a n d   c i v i l i s a t i o n s .   O n e   o f   t h e   f u n d a m e n t a l   q u e s t i o n s   e x a m i n e d   i n   t h e   b o o k   i s   t h e   r o o t e d n e s s   o f   t h e   e n t i r e   c"" [16772] ""o l o n i a l   v e n t u r e   i n   C h r i s t i a n   c o n c e p t i o n s   d e r i v e d   f r o m   B i b l i c a l   v e r i t i e s .   H o w e v e r ,   w h a t   i s   v e r y   r a r e l y   u n d e r s t o o d   i s   t h e   c h a m e l e o n   a d"" [16905] ""a p t a b i l i t y   o f   t h e   C h r i s t i a n   i d e o l o g i c a l   y e a r n i n g   t o w a r d s   s p i r i t u a l   a n d   p s y c h o l o g i c a l   e n s l a v e m e n t   o f   t h e   ‘ O t h e r ’ ,   m a n i f e s t e d   i n   t h e   p o""","
Colonialism has had a significant impact on societies and civilizations. [16640] The book examines the deep roots of this colonial venture, which is often misunderstood. [16772] It reveals how Christianity, derived from Biblical truths, has been used to psychologically enslave 'the other', as manifested in the power dynamics of colonial societies and civilizations. [16905] The book offers a comprehensive exploration of the ways in which colonialism has shaped societies and civilizations, and how this has been perpetuated through Christianity."
,"[16772] ""o l o n i a l   v e n t u r e   i n   C h r i s t i a n   c o n c e p t i o n s   d e r i v e d   f r o m   B i b l i c a l   v e r i t i e s .   H o w e v e r ,   w h a t   i s   v e r y   r a r e l y   u n d e r s t o o d   i s   t h e   c h a m e l e o n   a d"" [16905] ""a p t a b i l i t y   o f   t h e   C h r i s t i a n   i d e o l o g i c a l   y e a r n i n g   t o w a r d s   s p i r i t u a l   a n d   p s y c h o l o g i c a l   e n s l a v e m e n t   o f   t h e   ‘ O t h e r ’ ,   m a n i f e s t e d   i n   t h e   p o"" [17039] ""s t - E n l i g h t e n m e n t   w o r l d   a s   ‘ s e c u l a r i s m ’ .   C h r i s t i a n   t h e o l o g y   a l s o   p r o v e d   a n   i r r e s i s t i b l e   h a n d m a i d e n   t o   t h e   p r o l o n g e d   p l u n d e r   o f   c o l o n i s e""","
Christianity has a long history of colonization and exploitation of the ‘Other’, evident in the post-Enlightenment world as ‘secularism’. Christianity has also been used as a tool to justify the plunder of colonial resources and cultures, as well as to create an environment of spiritual and psychological enslavement. The Christian ideological yearning towards this type of subjugation is both pervasive and adaptable, and its effects are still seen today."
,"[16905] ""a p t a b i l i t y   o f   t h e   C h r i s t i a n   i d e o l o g i c a l   y e a r n i n g   t o w a r d s   s p i r i t u a l   a n d   p s y c h o l o g i c a l   e n s l a v e m e n t   o f   t h e   ‘ O t h e r ’ ,   m a n i f e s t e d   i n   t h e   p o"" [17039] ""s t - E n l i g h t e n m e n t   w o r l d   a s   ‘ s e c u l a r i s m ’ .   C h r i s t i a n   t h e o l o g y   a l s o   p r o v e d   a n   i r r e s i s t i b l e   h a n d m a i d e n   t o   t h e   p r o l o n g e d   p l u n d e r   o f   c o l o n i s e"" [17170] ""d   l a n d s   a n d   i t   i n ﬂ i c t e d   a   p a r t i c u l a r l y   d e v a s t a t i n g   t r a g e d y   b y   s e v e r i n g   i n d i g e n o u s   t r a d i t i o n s   f r o m   t h e   s e a m l e s s   c o n t i n u i t y   o f   l i f e   w""","
Christian ideology has long been accused of subjugating the ‘Other’, manifesting in the post-Enlightenment world as ‘secularism’. This has resulted in the plunder of colonized lands and the severing of indigenous traditions from the seamless continuity of life, leading to devastating tragedy."
,"[17039] ""s t - E n l i g h t e n m e n t   w o r l d   a s   ‘ s e c u l a r i s m ’ .   C h r i s t i a n   t h e o l o g y   a l s o   p r o v e d   a n   i r r e s i s t i b l e   h a n d m a i d e n   t o   t h e   p r o l o n g e d   p l u n d e r   o f   c o l o n i s e"" [17170] ""d   l a n d s   a n d   i t   i n ﬂ i c t e d   a   p a r t i c u l a r l y   d e v a s t a t i n g   t r a g e d y   b y   s e v e r i n g   i n d i g e n o u s   t r a d i t i o n s   f r o m   t h e   s e a m l e s s   c o n t i n u i t y   o f   l i f e   w"" [17302] ""i t h   n a t u r e   t h a t   m a n y   n o n -   E u r o p e a n   s o c i e t i e s   p r a c t i s e d .   O f   c o u r s e ,   b r u t a l   v i o l e n c e ,   c y n i c a l   c o n t r i v a n c e   a n d   t h e   m a n i p u l a t i o n   o f   l o c a""","
Secularism has served as a tool for colonial powers to plunder land and resources from non-European societies, causing devastating tragedies by severing indigenous traditions from the seamless continuity of life with nature. Christian theology has been an irresistible handmaiden to this prolonged plunder."
,"[17170] ""d   l a n d s   a n d   i t   i n ﬂ i c t e d   a   p a r t i c u l a r l y   d e v a s t a t i n g   t r a g e d y   b y   s e v e r i n g   i n d i g e n o u s   t r a d i t i o n s   f r o m   t h e   s e a m l e s s   c o n t i n u i t y   o f   l i f e   w"" [17302] ""i t h   n a t u r e   t h a t   m a n y   n o n -   E u r o p e a n   s o c i e t i e s   p r a c t i s e d .   O f   c o u r s e ,   b r u t a l   v i o l e n c e ,   c y n i c a l   c o n t r i v a n c e   a n d   t h e   m a n i p u l a t i o n   o f   l o c a"" [17433] ""l   d i v i s i o n s   a n d   ﬁ s s u r e s   w e r e   t h e   i m p o r t a n t   i m m e d i a t e   a n d   d a i l y   a d j u n c t s   t o   t h e   c o l o n i a l   r u l e .   S a i   D e e p a k   f o c u s e s   d e t a i l e d   a t t e n t i o n""","
The colonial rule in many non-European societies had a devastating impact on indigenous traditions, severing them from the continuity of life. Colonial divisions and fissures were important adjuncts to this rule, with Deepak Sai providing detailed attention to the complexities of this period. The violence, manipulation and contrivance of the colonial period inflicted a particular tragedy on these societies."
,"[17302] ""i t h   n a t u r e   t h a t   m a n y   n o n -   E u r o p e a n   s o c i e t i e s   p r a c t i s e d .   O f   c o u r s e ,   b r u t a l   v i o l e n c e ,   c y n i c a l   c o n t r i v a n c e   a n d   t h e   m a n i p u l a t i o n   o f   l o c a"" [17433] ""l   d i v i s i o n s   a n d   ﬁ s s u r e s   w e r e   t h e   i m p o r t a n t   i m m e d i a t e   a n d   d a i l y   a d j u n c t s   t o   t h e   c o l o n i a l   r u l e .   S a i   D e e p a k   f o c u s e s   d e t a i l e d   a t t e n t i o n"" [17562] ""o n   a n   i s s u e   o f   p a r t i c u l a r   i m p o r t a n c e   t o   B h a r a t i y a s ,   w h i c h   i s   t h e   l i k e l y   n a t u r e   o f   t h e   c o l o n i a l   i m p a c t   o n   t h e i r   c i v i l i s a t i o n ,   a n d""","
The colonial rule had a profound impact on many non-European societies, leading to brutal violence, cynical contrivance, and the manipulation of local divisions and fissures. Deepak Sai focuses on the likely nature of the colonial impact on Indian civilization, highlighting how it had a lasting effect on cultural, economic, and social systems."
,"[17433] ""l   d i v i s i o n s   a n d   ﬁ s s u r e s   w e r e   t h e   i m p o r t a n t   i m m e d i a t e   a n d   d a i l y   a d j u n c t s   t o   t h e   c o l o n i a l   r u l e .   S a i   D e e p a k   f o c u s e s   d e t a i l e d   a t t e n t i o n"" [17562] ""o n   a n   i s s u e   o f   p a r t i c u l a r   i m p o r t a n c e   t o   B h a r a t i y a s ,   w h i c h   i s   t h e   l i k e l y   n a t u r e   o f   t h e   c o l o n i a l   i m p a c t   o n   t h e i r   c i v i l i s a t i o n ,   a n d"" [17693] ""t h e   r e l e v a n c e   o f   c o l o n i a l i t y   t o   e x p l a i n   t h e i r   c u r r e n t   p r e d i c a m e n t .   I n   a   t h o r o u g h l y   ﬂ e s h e d   o u t   e x e g e s i s ,   S a i   D e e p a k   r e i t e r a t e s   t h e""","
Colonialism has had a profound effect on Bhartiyas and their culture. Sai Deepak's book focuses on the long-term implications of this rule on Bhartiyas, exploring how divisions and fissures were used as a tool to maintain the colonial rule. He also examines the relevance of colonialism to explain the current predicaments faced by Bhartiyas. His detailed exegesis reiterates the importance of understanding the nature of colonial impact on their civilization."
,"[17562] ""o n   a n   i s s u e   o f   p a r t i c u l a r   i m p o r t a n c e   t o   B h a r a t i y a s ,   w h i c h   i s   t h e   l i k e l y   n a t u r e   o f   t h e   c o l o n i a l   i m p a c t   o n   t h e i r   c i v i l i s a t i o n ,   a n d"" [17693] ""t h e   r e l e v a n c e   o f   c o l o n i a l i t y   t o   e x p l a i n   t h e i r   c u r r e n t   p r e d i c a m e n t .   I n   a   t h o r o u g h l y   ﬂ e s h e d   o u t   e x e g e s i s ,   S a i   D e e p a k   r e i t e r a t e s   t h e"" [17824] ""ﬁ n d i n g s   o f   l e a d i n g   s c h o l a r s   o f   B h a r a t   o n   h o w   d e e p l y   c o l o n i a l i t y   h a s   i m b u e d   I n d i c   c o n s c i o u s n e s s ,   w h i c h   e x h i b i t s   i t s e l f   i n   s e l f - a b n e g""","
The colonial impact on Bhartiya civilization has been deeply embedded in their consciousness. This is evidenced by their current predicament which is characterized by self-abnegation and a lack of agency. As Sai Deepak reiterates, leading scholars of Bharat have outlined the far-reaching effects of colonialism on Bhartiyas. Coloniality has played a major role in shaping modern Indian society and has left a lasting impact on their culture."
